l_x,l_y,l_z,t_x,t_y,t_z
0.879897,-2.11911,-0.318507,-0.736714,2.23942,-0.45001
-0.590981,-1.54271,0.0683247,0.800268,1.64484,0.114548
0.0800088,-3.1754,0.441305,0.208357,3.3272,0.420009
-0.944407,-2.94684,-0.325451,1.21767,3.01017,-0.4091
-0.0178577,-2.19891,0.0587516,0.294552,2.33793,0
1.12465,-3.78392,0.432313,-1.01743,3.9405,0.512738
-1.01374,-2.54228,-0.0855966,1.27662,2.6239,-0.182731
1.1452,-3.28266,0.392709,-0.898372,3.47938,0.452737
-0.00655004,-2.19294,0.271171,0.292242,2.3196,0.294552
0.233821,-2.68015,-0.0881801,0,2.83088,-0.177277
-0.88701,-3.45464,0.383869,1.17708,3.57803,0.474556
1.1941,-2.16781,0.263116,-0.957903,2.368,0.321825
0.888504,-2.45117,-0.236728,-0.671073,2.59905,-0.338189
-0.969958,-2.41344,-0.137539,1.21946,2.50642,-0.174549
0.472624,-2.89116,0.507758,-0.190206,3.03735,0.580922
